culture,precision,recall,f1
german,0.5196591303265318,0.5753539737835943,0.5416435550318518
native american,0.522546565063764,0.47873156054024124,0.4968151570299425
persian,0.5426353130506696,0.4569567146742145,0.4760232089986286
