story_id,culture,condition,orig_nodes,orig_edges,orig_density,orig_avg_degree,orig_longest_path,ret_nodes,ret_edges,ret_density,ret_avg_degree,ret_longest_path,compression_ratio_nodes,compression_ratio_edges,longest_path_ratio,density_diff,avg_degree_diff,longest_path_diff,graph_edit_distance
g01,german,same_culture,76,75,0.013157894736842105,1.9736842105263157,75,114,113,0.008771929824561403,1.9824561403508771,113,1.5,1.5066666666666666,1.5066666666666666,-0.0043859649122807015,0.00877192982456143,38,
g01,german,cross_culture,76,75,0.013157894736842105,1.9736842105263157,75,91,90,0.01098901098901099,1.978021978021978,90,1.1973684210526316,1.2,1.2,-0.0021688837478311147,0.004337767495662392,15,
g02,german,same_culture,132,131,0.007575757575757576,1.9848484848484849,131,127,126,0.007874015748031496,1.984251968503937,126,0.9621212121212122,0.9618320610687023,0.9618320610687023,0.00029825817227392,-0.0005965163445478261,-5,
g02,german,cross_culture,132,131,0.007575757575757576,1.9848484848484849,131,64,63,0.015625,1.96875,63,0.48484848484848486,0.48091603053435117,0.48091603053435117,0.008049242424242424,-0.016098484848484862,-68,
g03,german,same_culture,100,99,0.01,1.98,99,87,86,0.011494252873563218,1.9770114942528736,86,0.87,0.8686868686868687,0.8686868686868687,0.001494252873563218,-0.002988505747126391,-13,
g03,german,cross_culture,100,99,0.01,1.98,99,51,50,0.0196078431372549,1.9607843137254901,50,0.51,0.5050505050505051,0.5050505050505051,0.009607843137254901,-0.01921568627450987,-49,
g04,german,same_culture,38,37,0.02631578947368421,1.9473684210526316,37,54,53,0.018518518518518517,1.962962962962963,53,1.4210526315789473,1.4324324324324325,1.4324324324324325,-0.007797270955165692,0.015594541910331383,16,
g04,german,cross_culture,38,37,0.02631578947368421,1.9473684210526316,37,55,54,0.01818181818181818,1.9636363636363636,54,1.4473684210526316,1.4594594594594594,1.4594594594594594,-0.008133971291866028,0.016267942583731987,17,
g05,german,same_culture,43,42,0.023255813953488372,1.9534883720930232,42,53,52,0.018867924528301886,1.9622641509433962,52,1.2325581395348837,1.2380952380952381,1.2380952380952381,-0.004387889425186486,0.008775778850373062,10,
g05,german,cross_culture,43,42,0.023255813953488372,1.9534883720930232,42,52,51,0.019230769230769232,1.9615384615384615,51,1.2093023255813953,1.2142857142857142,1.2142857142857142,-0.00402504472271914,0.00805008944543828,9,
g06,german,same_culture,52,51,0.019230769230769232,1.9615384615384615,51,51,50,0.0196078431372549,1.9607843137254901,50,0.9807692307692307,0.9803921568627451,0.9803921568627451,0.00037707390648566985,-0.0007541478129713397,-1,
g06,german,cross_culture,52,51,0.019230769230769232,1.9615384615384615,51,45,44,0.022222222222222223,1.9555555555555555,44,0.8653846153846154,0.8627450980392157,0.8627450980392157,0.0029914529914529912,-0.005982905982905962,-7,
g07,german,same_culture,117,116,0.008547008547008548,1.982905982905983,116,111,110,0.009009009009009009,1.981981981981982,110,0.9487179487179487,0.9482758620689655,0.9482758620689655,0.00046200046200046106,-0.0009240009240010227,-6,
g07,german,cross_culture,117,116,0.008547008547008548,1.982905982905983,116,83,82,0.012048192771084338,1.9759036144578312,82,0.7094017094017094,0.7068965517241379,0.7068965517241379,0.00350118422407579,-0.007002368448151719,-34,
g08,german,same_culture,60,59,0.016666666666666666,1.9666666666666666,59,67,66,0.014925373134328358,1.9701492537313432,66,1.1166666666666667,1.11864406779661,1.11864406779661,-0.0017412935323383085,0.0034825870646766344,7,
g08,german,cross_culture,60,59,0.016666666666666666,1.9666666666666666,59,53,52,0.018867924528301886,1.9622641509433962,52,0.8833333333333333,0.8813559322033898,0.8813559322033898,0.0022012578616352196,-0.004402515723270328,-7,
g09,german,same_culture,75,74,0.013333333333333334,1.9733333333333334,74,69,68,0.014492753623188406,1.9710144927536233,68,0.92,0.918918918918919,0.918918918918919,0.0011594202898550718,-0.002318840579710102,-6,
g09,german,cross_culture,75,74,0.013333333333333334,1.9733333333333334,74,58,57,0.017241379310344827,1.9655172413793103,57,0.7733333333333333,0.7702702702702703,0.7702702702702703,0.003908045977011493,-0.007816091954023108,-17,
g10,german,same_culture,95,94,0.010526315789473684,1.9789473684210526,94,113,112,0.008849557522123894,1.9823008849557522,112,1.1894736842105262,1.1914893617021276,1.1914893617021276,-0.0016767582673497903,0.0033535165346996187,18,
g10,german,cross_culture,95,94,0.010526315789473684,1.9789473684210526,94,82,81,0.012195121951219513,1.975609756097561,81,0.8631578947368421,0.8617021276595744,0.8617021276595744,0.0016688061617458286,-0.003337612323491612,-13,
n01,native american,same_culture,20,19,0.05,1.9,19,19,18,0.05263157894736842,1.894736842105263,18,0.95,0.9473684210526315,0.9473684210526315,0.0026315789473684154,-0.0052631578947368585,-1,
n01,native american,cross_culture,20,19,0.05,1.9,19,20,19,0.05,1.9,19,1.0,1.0,1.0,0.0,0.0,0,
n02,native american,same_culture,30,29,0.03333333333333333,1.9333333333333333,29,31,30,0.03225806451612903,1.935483870967742,30,1.0333333333333334,1.0344827586206897,1.0344827586206897,-0.0010752688172043015,0.0021505376344086446,1,
n02,native american,cross_culture,30,29,0.03333333333333333,1.9333333333333333,29,29,28,0.034482758620689655,1.9310344827586208,28,0.9666666666666667,0.9655172413793104,0.9655172413793104,0.0011494252873563218,-0.0022988505747125743,-1,
n03,native american,same_culture,78,77,0.01282051282051282,1.9743589743589745,77,56,55,0.017857142857142856,1.9642857142857142,55,0.717948717948718,0.7142857142857143,0.7142857142857143,0.005036630036630036,-0.01007326007326026,-22,
