culture,condition,f1
german,cross_culture,0.30152672982172485
german,same_culture,0.5416435550318518
native american,cross_culture,0.08730919093274478
native american,same_culture,0.4968151570299425
persian,cross_culture,0.2646705373930144
persian,same_culture,0.4760232089986286
